HUC06_Name,Below 33rd Percentile,Between 33rd and 67th Percentile,Above 67th Percentile
Spokane,30.7692307692308,7.69230769230769,53.8461538461538
Snake Headwaters,30.7692307692308,-3.84615384615385,42.3076923076923
Clearwater,30.7692307692308,-3.84615384615385,19.2307692307692
Middle Snake-Powder,19.2307692307692,-15.3846153846154,7.69230769230769
Deschutes,30.7692307692308,42.3076923076923,42.3076923076923
Lower Snake,19.2307692307692,19.2307692307692,42.3076923076923
Middle Snake-Boise,19.2307692307692,-3.84615384615385,19.2307692307692
Kootenai,42.3076923076923,30.7692307692308,53.8461538461538
Pend Oreille,30.7692307692308,19.2307692307692,53.8461538461538
Upper Columbia,30.7692307692308,19.2307692307692,42.3076923076923
Yakima,30.7692307692308,30.7692307692308,42.3076923076923
Upper Snake,30.7692307692308,7.69230769230769,7.69230769230769
John Day,7.69230769230769,-15.3846153846154,30.7692307692308
Northern Oregon Coastal,30.7692307692308,30.7692307692308,53.8461538461538
Washington Coastal,30.7692307692308,30.7692307692308,53.8461538461538
Oregon Closed Basins,42.3076923076923,19.2307692307692,19.2307692307692
Middle Columbia,7.69230769230769,-15.3846153846154,19.2307692307692
Puget Sound,42.3076923076923,19.2307692307692,65.3846153846154
Lower Columbia,30.7692307692308,30.7692307692308,53.8461538461538
Willamette,42.3076923076923,42.3076923076923,53.8461538461538
Southern Oregon Coastal,30.7692307692308,42.3076923076923,53.8461538461538
Salmon,42.3076923076923,7.69230769230769,42.3076923076923
