HUC06_Name,Below 33rd Percentile,Between 33rd and 67th Percentile,Above 67th Percentile
Spokane,7.69230769230769,7.69230769230769,19.2307692307692
Snake Headwaters,30.7692307692308,7.69230769230769,42.3076923076923
Clearwater,30.7692307692308,19.2307692307692,19.2307692307692
Middle Snake-Powder,19.2307692307692,7.69230769230769,-3.84615384615385
Deschutes,19.2307692307692,42.3076923076923,30.7692307692308
Lower Snake,19.2307692307692,42.3076923076923,42.3076923076923
Middle Snake-Boise,53.8461538461538,19.2307692307692,7.69230769230769
Kootenai,19.2307692307692,-15.3846153846154,19.2307692307692
Pend Oreille,19.2307692307692,-3.84615384615385,30.7692307692308
Upper Columbia,19.2307692307692,7.69230769230769,19.2307692307692
Yakima,19.2307692307692,19.2307692307692,30.7692307692308
Upper Snake,30.7692307692308,-3.84615384615385,-3.84615384615385
John Day,30.7692307692308,30.7692307692308,19.2307692307692
Northern Oregon Coastal,19.2307692307692,7.69230769230769,30.7692307692308
Washington Coastal,30.7692307692308,19.2307692307692,30.7692307692308
Oregon Closed Basins,7.69230769230769,-3.84615384615385,7.69230769230769
Middle Columbia,19.2307692307692,30.7692307692308,19.2307692307692
Puget Sound,7.69230769230769,7.69230769230769,42.3076923076923
Lower Columbia,30.7692307692308,42.3076923076923,30.7692307692308
Willamette,30.7692307692308,19.2307692307692,30.7692307692308
Southern Oregon Coastal,19.2307692307692,19.2307692307692,42.3076923076923
Salmon,30.7692307692308,-15.3846153846154,30.7692307692308
